,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe
170,新乐居委会,2,1,0,新桥镇,松江区,121.307302319246,31.0654868437429,0.5,POINT (121.307302319246 31.0654868437429),-0.9367397611366353,-0.814136180259632,-0.5227660583590759,-0.42920557533515186,very unhappy
171,新乐居委会,2,1,0,竖新镇,崇明区,121.577382193433,31.5660147735629,0.5,POINT (121.577382193433 31.5660147735629),-0.9401915124288907,-1.0562015104836098,-0.9238523511111022,-0.8509374217465573,very unhappy
172,新华里居委会,2,1,1,大桥街道,杨浦区,121.530219041975,31.2629813249282,0.8333333333333333,POINT (121.530219041975 31.2629813249282),1.2395894286304368,-0.3300055198116762,-0.12167976560704942,-0.42920557533515186,happy
173,新南社区居委会,1,1,0,西渡街道,奉贤区,121.441535245655,30.9934202309589,0.41666666666666663,POINT (121.441535245655 30.9934202309589),-0.938465636782763,-0.572070850035654,-0.9238523511111022,-0.8509374217465573,very unhappy
174,新城尚景居委会,2,1,1,淞南镇,宝山区,121.477997735507,31.3440198496364,0.8333333333333333,POINT (121.477997735507 31.3440198496364),-0.23258249751652,-0.20897285469968727,0.012015665310292719,-0.8509374217465573,happy
175,新宜居委会,2,1,0,甘泉路街道,普陀区,121.433434108597,31.2673962029724,0.5,POINT (121.433434108597 31.2673962029724),0.8063946414523755,0.15412514063627955,0.07886338076896379,-0.8509374217465573,very unhappy
176,新宝社区居委会,1,1,1,嘉定工业区,嘉定区,121.191829968378,31.4041773341167,0.75,POINT (121.191829968378 31.4041773341167),-0.9401915124288907,-1.0562015104836098,-0.8570046356524311,-0.8509374217465573,unhappy
177,新成居委会,4,1,1,南京西路街道,静安区,121.460286307267,31.2309321060319,1.0,POINT (121.460286307267 31.2309321060319),0.8184757709752697,2.2116804475400915,0.8810359662730166,0.4142581174876589,very happy
178,新曹杨居委会,2,1,1,长征镇,普陀区,121.388985967228,31.2375225915943,0.8333333333333333,POINT (121.388985967228 31.2375225915943),0.21269341918443524,0.03309247552429061,0.47994967352099016,-0.8509374217465573,happy
179,新桥居委会,3,1,1,南京东路街道,黄浦区,121.460605005416,31.2418957069214,0.9166666666666665,POINT (121.460605005416 31.2418957069214),0.5354321650103214,1.6065171219801466,1.415817689942385,0.8359899638990643,very happy
180,新桥居委会,3,1,1,天目西路街道,静安区,121.452173394486,31.2415690686576,0.9166666666666665,POINT (121.452173394486 31.2415690686576),0.6855833462234342,2.2116804475400915,1.282122259025043,1.2577218103104697,very happy
181,新桥居委会,3,1,1,张庙街道,宝山区,121.448258999952,31.3412723542357,0.9166666666666665,POINT (121.448258999952 31.3412723542357),-0.034106798211830644,-0.08794018958769832,-0.25537519652439156,-0.42920557533515186,very happy
