,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe,real_estate
23,中凯居委会,3,1,1,南京西路街道,静安区,121.46132993273,31.2272511656088,0.9166666666666665,POINT (121.46132993273 31.2272511656088),0.4563734968956739,1.5771504499951916,1.36526438100629,0.5444788069554779,very happy,0.8132659629200701
24,中凯居委会,3,1,1,南京西路街道,静安区,121.46132993273,31.2272511656088,0.9166666666666665,POINT (121.46132993273 31.2272511656088),0.4563734968956739,1.5771504499951916,1.36526438100629,0.5444788069554779,very happy,0.8132659629200701
25,中原路九十九弄居委会,2,1,0,五角场镇,杨浦区,121.52689846799,31.3157262229868,0.5,POINT (121.52689846799 31.3157262229868),2.6477736296249583,-0.4359637181817054,-0.6706561871609847,0.5444788069554779,very unhappy,0.005628438980531203
26,中山东一路居委会,4,1,1,外滩街道,黄浦区,121.485321703633,31.2356838584233,1.0,POINT (121.485321703633 31.2356838584233),0.8614190190589065,1.3534710979755362,3.580824999305972,1.71754290324167,very happy,0.8305966257553393
28,中环家园社区居委会,3,1,0,万里街道,普陀区,121.408071457032,31.2680848750169,0.5833333333333333,POINT (121.408071457032 31.2680848750169),0.6121602361892249,-0.7714827462111882,-0.25149607018536924,-0.23756392390198353,very unhappy,0.10654029531727659
29,中远两湾城第三居委会,3,1,0,宜川路街道,普陀区,121.432523701507,31.2523889533875,0.5833333333333333,POINT (121.432523701507 31.2523889533875),0.7939114320317011,0.7942727179263982,-0.25149607018536924,0.5444788069554779,very unhappy,0.46676453286145114
31,临汾路一二四四弄居委会,3,1,1,彭浦新村街道,静安区,121.4383433044,31.3140192557841,0.9166666666666665,POINT (121.4383433044 31.3140192557841),0.36290145331954327,-0.547803394191533,0.28742408021185056,-0.23756392390198353,very happy,-0.4207692325831125
32,丽二居委会,3,1,1,打浦桥街道,黄浦区,121.474220823931,31.2091499172349,0.9166666666666665,POINT (121.474220823931 31.2091499172349),1.3028147803906343,0.9061123939362258,0.16766404679024619,1.3265215378129394,very happy,1.2129841621156603
34,九茂居委会,2,1,0,长寿路街道,普陀区,121.436921996053,31.2423449443637,0.5,POINT (121.436921996053 31.2423449443637),0.6710130043667886,1.8008298020148465,0.3473040969226528,0.5444788069554779,very unhappy,0.5369293952268236
35,云南居委会,3,1,1,外滩街道,黄浦区,121.477493438871,31.2287098614709,0.9166666666666665,POINT (121.477493438871 31.2287098614709),1.1885711715753635,2.807386886103295,4.538905266678807,1.3265215378129394,very happy,0.8507355239880257
36,交大新村居委会,3,1,1,徐家汇街道,徐汇区,121.422759228755,31.193064227632,0.9166666666666665,POINT (121.422759228755 31.193064227632),0.04613508342265622,1.5771504499951916,1.305384364295488,2.1085642686704005,very happy,1.163368467826818
37,交通公园居委会,3,1,1,芷江西路街道,静安区,121.463362397856,31.2500182289581,0.9166666666666665,POINT (121.463362397856 31.2500182289581),0.5758099970207297,0.12323466186743257,-0.011976003342160441,-0.23756392390198353,very happy,0.4886121945714001
